"GUID","Index","Name","Description","Category","Productivity","Risk","SoftwareFlags","Reference","PluginName"
"050PLUS",1075,"050Plus","The traffic consists of data from logging in or making calls with the 050Plus application.","Messaging",2,2,0,"","050plus"
"12306CN",656,"12306.cn","12306.cn is the only China Railway customer service center","Web Services",4,1,0,"","sites"
"126COM",657,"126.com","126.com is a free webmail service of Netease","Mail",4,2,0,"","sites"
"17173",777,"17173.com","General browsing, interaction, and game play on the social gaming network 17173.com","Social Networking",2,2,0,"","sites"
"2345COM",700,"2345.com","General browsing of navigation portal 2345.com","Web Services",3,1,0,"","sites"
"247INC",875,"[24]7 Inc.","Data and advertisements hosted by [24]7 Inc.","Web Services",3,1,0,"","sites"
"247MEDIA",876,"24/7 Media","Ads hosted by 24/7 Media technology and the Real Media group.","Web Services",3,1,0,"","sites"
"33ACROSS",816,"33Across","Traffic generated by 33Across to collect anonymous information about users visiting specific websites.","Web Services",1,1,0,"","sites"
"39NET",658,"39.net","39.net is China's leading health web portal","Web Services",4,1,0,"","sites"
"3COMTSMX",104,"3COM-TSMUX","3COM-TSMUX Queuing Protocol","Networking",4,1,0,"","portmap"
"4399COM",686,"4399.com","General browsing and game play on Chinese casual gaming website 4399.com","Games",1,1,0,"","sites"
"4SHARED",553,"4Shared","A file sharing service that provides search functions, allows users to upload and download files to their accounts and share links with other people.","File Transfer",1,4,0,"","sites"
"51COM",856,"51.com","General browsing, game play, posting and viewing dating profiles and videos, and point redemption on Chinese web portal 51.com","Web Services",1,2,0,"","sites"
"56COM",747,"56.com","General browsing and streaming media from Chinese video sharing website 56.com","Web Services",1,5,0,"","sites"
"58COM",1116,"58.com.cn","Classified ad and media traffic generated by browsing 58.com.cn.","Web Services",1,1,0,"","sites"
"914CG",186,"914CG","Texas Instruments 914C/G Terminal","Networking",3,1,0,"","portmap"
"ABOUT",633,"about.com","English source for original information and advice","Web Services",3,1,0,"","sites"
"ACAS",71,"ACA Services","DEC's Application Control Architecture Services","Networking",5,1,0,"","portmap"
"ACCWEATH",1193,"accuweather.com","Website that provides weather forecasting services worldwide.","Web Services",3,1,0,"","sites"
"ACHETEZ",1224,"achetezfacile.com","Traffic generated by browsing, searching, and purchasing items from French online shopping site achetezfacile.com","Web Services",2,1,0,"","sites"
"ACI",172,"ACI","Application Communication Interface","Networking",3,1,0,"","portmap"
"ACRNEMA",102,"ACR-NEMA","A standard for handling, storing, printing, and transmitting information in medical imaging.","File Transfer",4,2,0,"","portmap"
"ACTIVDIR",518,"Active Directory","Microsoft Active Directory","Networking",5,1,0,"","ad"
"ACTVSYNC",352,"ActiveSync","ActiveSync Notifications, IANA port 1034/tcp and 1034/udp","Networking",3,1,0,"","portmap"
"AD4MAT",1233,"Ad4mat","Traffic generated by browsing websites that use Ad4mat to generate ad traffic.","Web Services",3,1,0,"","sites"
"ADCASH",1209,"Adcash.com","Traffic generated by browsing adcash.com and websites containing advertisements from Adcash","Web Services",3,3,0,"","sites"
"ADCONION",811,"Adconion","User online behaviour data gathered by Adconion Media Group, digital distribution platform operators.","Web Services",1,1,0,"","sites"
"ADCTVMOB",1467,"Addictive Mobility","Traffic generated by using mobile apps that use Addictive Mobility to host media or ads.","Web Services",1,1,0,"https://addictivemobility.com/","sites"
"ADDTHIS",886,"AddThis","User analytics and content sharing through addthis.com","Web Services",3,1,0,"","sites"
"ADFLY",687,"Adf.ly","General site browsing and usage of URL shortening service from Adf.ly","Web Services",3,2,0,"","sites"
"ADFONIC",914,"adfonic","Mobile web and app inventory from advertising buying platform adfonic.","Web Services",3,1,0,"","sites"
"ADGEAR",885,"adgear","Traffic generated by browsing websites that host their ads using adgear","Web Services",3,1,0,"","sites"
"ADIFYCOP",964,"Adify","Traffic generated by browsing websites that use Adify to generate ad traffic.","Web Services",3,1,0,"","sites"
"ADJUGLER",969,"AdJuggler","Traffic generated by browsing websites that use AdJuggler to generate ads.","Web Services",3,1,0,"","sites"
"ADMARVEL",890,"AdMarvel","Traffic generated by browsing websites that use AdMarvel to generate ads.","Web Services",3,1,0,"","sites"
"ADMASTER",959,"AdMaster","Traffic generated by browsing web pages that use Admaster to generate ads.","Web Services",4,1,0,"","sites"
"ADMELD",820,"Admeld","Accessing web pages that use the Admeld service to generate ads","Web Services",2,1,0,"","sites"
"ADMETA",963,"Admeta","Traffic generated by web pages using Admeta to generate ads.","Web Services",4,1,0,"","sites"
"ADMIN5",688,"Admin5","General browsing of Chinese webmaster information site Admin5.","Web Services",4,1,0,"","sites"
"ADMOB",926,"AdMob","Traffic generated by web pages using AdMob to generate ads.","Web Services",4,2,0,"","sites"
